Timestep "B2: Total water depth (m)" "B2: Current speed (m/s)" "B2: Time (s)"
"2100-01-01 00:00:26.500" 0.0 0.0 26.5
"2100-01-01 00:00:27.000" 0.0 0.0 27.0
"2100-01-01 00:00:27.500" 0.0 0.0 27.5
"2100-01-01 00:00:28.000" 0.0 0.0 28.0
"2100-01-01 00:00:28.500" 0.0 0.0 28.5
"2100-01-01 00:00:29.000" 0.0 0.0 29.000000000000004
"2100-01-01 00:00:29.500" 0.0 0.0 29.500000000000004
"2100-01-01 00:00:30.000" 0.0 0.0 30.000000000000004
"2100-01-01 00:00:30.500" 0.0 0.0 30.500000000000004
"2100-01-01 00:00:31.000" 0.0 0.0 31.000000000000004
"2100-01-01 00:00:31.500" 0.0 0.0 31.500000000000004
"2100-01-01 00:00:32.000" 0.0 0.0 32.0
"2100-01-01 00:00:32.500" 0.0 0.0 32.5
"2100-01-01 00:00:33.000" 0.0 0.0 33.0
"2100-01-01 00:00:33.500" 0.0 0.0 33.5
"2100-01-01 00:00:34.000" 0.0 0.0 34.0
"2100-01-01 00:00:34.500" 0.0 0.0 34.5
"2100-01-01 00:00:35.000" 0.0 0.0 35.0
"2100-01-01 00:00:35.500" 0.0 0.0 35.5
"2100-01-01 00:00:36.000" 0.0 0.0 36.0
"2100-01-01 00:00:36.500" 0.0 0.0 36.5
"2100-01-01 00:00:37.000" 0.0 0.0 37.0
"2100-01-01 00:00:37.500" 0.0 0.0 37.5
"2100-01-01 00:00:38.000" 0.0 0.0 38.0
"2100-01-01 00:00:38.500" 0.0 0.0 38.5
"2100-01-01 00:00:39.000" 0.0 0.0 39.0
"2100-01-01 00:00:39.500" 0.0 0.0 39.5
"2100-01-01 00:00:40.000" 0.0 0.0 40.0
"2100-01-01 00:00:40.500" 0.0 0.0 40.5
"2100-01-01 00:00:41.000" 0.0 0.0 41.0
"2100-01-01 00:00:41.500" 0.0 0.0 41.5
"2100-01-01 00:00:42.000" 0.0 0.0 42.0
"2100-01-01 00:00:42.500" 0.0 0.0 42.5
"2100-01-01 00:00:43.000" 0.0 0.0 43.0
"2100-01-01 00:00:43.500" 0.0 0.0 43.5
"2100-01-01 00:00:44.000" 0.0 0.0 44.0
"2100-01-01 00:00:44.500" 0.0 0.0 44.5
"2100-01-01 00:00:45.000" 0.0 0.0 45.0
"2100-01-01 00:00:45.500" 0.0 0.0 45.5
"2100-01-01 00:00:46.000" 0.0 0.0 46.0
"2100-01-01 00:00:46.500" 0.0 0.0 46.5
"2100-01-01 00:00:47.000" 0.0 0.0 47.0
"2100-01-01 00:00:47.500" 0.0 0.0 47.5
"2100-01-01 00:00:48.000" 0.0 0.0 48.0
"2100-01-01 00:00:48.500" 0.0 0.0 48.5
"2100-01-01 00:00:49.000" 0.0 0.0 49.0
"2100-01-01 00:00:49.500" 0.0 0.0 49.5
"2100-01-01 00:00:50.000" 0.0 0.0 50.0
"2100-01-01 00:00:50.500" 0.0 0.0 50.5
"2100-01-01 00:00:51.000" 0.0 0.0 51.0
"2100-01-01 00:00:51.500" 0.0 0.0 51.5
"2100-01-01 00:00:52.000" 0.0 0.0 52.0
"2100-01-01 00:00:52.500" 0.0 0.0 52.5
"2100-01-01 00:00:53.000" 0.0 0.0 53.0
"2100-01-01 00:00:53.500" 0.0 0.0 53.5
"2100-01-01 00:00:54.000" 0.0 0.0 54.0
"2100-01-01 00:00:54.500" 0.0 0.0 54.5
"2100-01-01 00:00:55.000" 0.0 0.0 55.0
"2100-01-01 00:00:55.500" 0.0 0.0 55.5
"2100-01-01 00:00:56.000" 0.0 0.0 56.0
"2100-01-01 00:00:56.500" 0.0 0.0 56.5
"2100-01-01 00:00:57.000" 0.0 0.0 57.0
"2100-01-01 00:00:57.500" 0.0 0.0 57.50000000000001
"2100-01-01 00:00:58.000" 0.0 0.0 58.00000000000001
"2100-01-01 00:00:58.500" 0.0 0.0 58.50000000000001
"2100-01-01 00:00:59.000" 0.0 0.0 59.00000000000001
"2100-01-01 00:00:59.500" 0.0 0.0 59.50000000000001
"2100-01-01 00:01:00.000" 0.0 0.0 60.00000000000001
"2100-01-01 00:01:00.500" 0.0 0.0 60.50000000000001
"2100-01-01 00:01:01.000" 0.0 0.0 61.00000000000001
"2100-01-01 00:01:01.500" 0.0 0.0 61.50000000000001
"2100-01-01 00:01:02.000" 0.0 0.0 62.00000000000001
"2100-01-01 00:01:02.500" 0.0 0.0 62.50000000000001
"2100-01-01 00:01:03.000" 0.0 0.0 63.00000000000001
"2100-01-01 00:01:03.500" 0.0 0.0 63.50000000000001
"2100-01-01 00:01:04.000" 0.0 0.0 64.0
"2100-01-01 00:01:04.500" 0.0 0.0 64.5
"2100-01-01 00:01:05.000" 0.0 0.0 65.0
"2100-01-01 00:01:05.500" 0.0 0.0 65.5
"2100-01-01 00:01:06.000" 0.0 0.0 66.0
"2100-01-01 00:01:06.500" 0.0 0.0 66.5
"2100-01-01 00:01:07.000" 0.0 0.0 67.0
"2100-01-01 00:01:07.500" 0.0 0.0 67.5
"2100-01-01 00:01:08.000" 0.0 0.0 68.0
"2100-01-01 00:01:08.500" 0.0 0.0 68.5
"2100-01-01 00:01:09.000" 0.0 0.0 69.0
"2100-01-01 00:01:09.500" 0.0 0.0 69.5
"2100-01-01 00:01:10.000" 0.0 0.0 70.0
"2100-01-01 00:01:10.500" 0.0 0.0 70.5
"2100-01-01 00:01:11.000" 0.0 0.0 71.0
"2100-01-01 00:01:11.500" 0.0 0.0 71.5
"2100-01-01 00:01:12.000" 0.0 0.0 72.0
"2100-01-01 00:01:12.500" 0.0 0.0 72.5
"2100-01-01 00:01:13.000" 0.0 0.0 73.0
"2100-01-01 00:01:13.500" 0.0 0.0 73.5
"2100-01-01 00:01:14.000" 0.0 0.0 74.0
"2100-01-01 00:01:14.500" 0.0 0.0 74.5
"2100-01-01 00:01:15.000" 0.0 0.0 75.0
"2100-01-01 00:01:15.500" 0.0 0.0 75.5
"2100-01-01 00:01:16.000" 0.0 0.0 76.0
"2100-01-01 00:01:16.500" 0.0 0.0 76.5
"2100-01-01 00:01:17.000" 0.0 0.0 77.0
"2100-01-01 00:01:17.500" 0.0 0.0 77.5
"2100-01-01 00:01:18.000" 0.0 0.0 78.0
"2100-01-01 00:01:18.500" 0.0 0.0 78.5
"2100-01-01 00:01:19.000" 0.0 0.0 79.0
"2100-01-01 00:01:19.500" 0.0 0.0 79.5
"2100-01-01 00:01:20.000" 0.0 0.0 80.0
"2100-01-01 00:01:20.500" 0.0 0.0 80.5
"2100-01-01 00:01:21.000" 0.0 0.0 81.0
"2100-01-01 00:01:21.500" 0.0 0.0 81.5
"2100-01-01 00:01:22.000" 0.0 0.0 82.0
"2100-01-01 00:01:22.500" 0.0 0.0 82.5
"2100-01-01 00:01:23.000" 0.0 0.0 83.0
"2100-01-01 00:01:23.500" 0.0 0.0 83.5
"2100-01-01 00:01:24.000" 0.0 0.0 84.0
"2100-01-01 00:01:24.500" 0.0 0.0 84.5
"2100-01-01 00:01:25.000" 0.0 0.0 85.0
"2100-01-01 00:01:25.500" 0.0 0.0 85.5
"2100-01-01 00:01:26.000" 0.0 0.0 86.0
"2100-01-01 00:01:26.500" 0.0 0.0 86.5
"2100-01-01 00:01:27.000" 0.0 0.0 87.0
"2100-01-01 00:01:27.500" 0.0 0.0 87.5
"2100-01-01 00:01:28.000" 0.0 0.0 88.0
"2100-01-01 00:01:28.500" 0.0 0.0 88.5
"2100-01-01 00:01:29.000" 0.0 0.0 89.0
"2100-01-01 00:01:29.500" 0.0 0.0 89.5
"2100-01-01 00:01:30.000" 0.0 0.0 90.0
"2100-01-01 00:01:30.500" 0.0 0.0 90.5
"2100-01-01 00:01:31.000" 0.0 0.0 91.0
"2100-01-01 00:01:31.500" 0.0 0.0 91.5
"2100-01-01 00:01:32.000" 0.0 0.0 92.0
"2100-01-01 00:01:32.500" 0.0 0.0 92.5
"2100-01-01 00:01:33.000" 0.0 0.0 93.0
"2100-01-01 00:01:33.500" 0.0 0.0 93.5
"2100-01-01 00:01:34.000" 0.0 0.0 94.0
"2100-01-01 00:01:34.500" 0.0 0.0 94.5
"2100-01-01 00:01:35.000" 0.0 0.0 95.0
"2100-01-01 00:01:35.500" 0.0 0.0 95.5
"2100-01-01 00:01:36.000" 0.0 0.0 96.0
"2100-01-01 00:01:36.500" 0.0 0.0 96.5
"2100-01-01 00:01:37.000" 0.0 0.0 97.0
"2100-01-01 00:01:37.500" 0.0 0.0 97.5
"2100-01-01 00:01:38.000" 0.0 0.0 98.0
"2100-01-01 00:01:38.500" 0.0 0.0 98.5
"2100-01-01 00:01:39.000" 0.0 0.0 99.0
"2100-01-01 00:01:39.500" 0.0 0.0 99.5
"2100-01-01 00:01:40.000" 0.0 0.0 100.0
"2100-01-01 00:01:40.500" 0.0 0.0 100.5
"2100-01-01 00:01:41.000" 0.0 0.0 101.0
"2100-01-01 00:01:41.500" 0.0 0.0 101.5
"2100-01-01 00:01:42.000" 0.0 0.0 102.0
"2100-01-01 00:01:42.500" 0.0 0.0 102.5
"2100-01-01 00:01:43.000" 0.0 0.0 103.0
"2100-01-01 00:01:43.500" 0.0 0.0 103.5
"2100-01-01 00:01:44.000" 0.0 0.0 104.0
"2100-01-01 00:01:44.500" 0.0 0.0 104.5
"2100-01-01 00:01:45.000" 0.0 0.0 105.0
"2100-01-01 00:01:45.500" 0.0 0.0 105.5
"2100-01-01 00:01:46.000" 0.0 0.0 106.0
"2100-01-01 00:01:46.500" 0.0 0.0 106.5
"2100-01-01 00:01:47.000" 0.0 0.0 107.0
"2100-01-01 00:01:47.500" 0.0 0.0 107.5
"2100-01-01 00:01:48.000" 0.0 0.0 108.0
"2100-01-01 00:01:48.500" 0.0 0.0 108.5
"2100-01-01 00:01:49.000" 0.0 0.0 109.0
"2100-01-01 00:01:49.500" 0.0 0.0 109.5
"2100-01-01 00:01:50.000" 0.0 0.0 110.0
"2100-01-01 00:01:50.500" 0.0 0.0 110.5
"2100-01-01 00:01:51.000" 0.0 0.0 111.0
"2100-01-01 00:01:51.500" 0.0 0.0 111.5
"2100-01-01 00:01:52.000" 0.0 0.0 112.0
"2100-01-01 00:01:52.500" 0.0 0.0 112.5
"2100-01-01 00:01:53.000" 0.0 0.0 113.0
"2100-01-01 00:01:53.500" 0.0 0.0 113.5
"2100-01-01 00:01:54.000" 0.0 0.0 114.0
"2100-01-01 00:01:54.500" 0.0 0.0 114.50000000000001
"2100-01-01 00:01:55.000" 0.0 0.0 115.00000000000001
"2100-01-01 00:01:55.500" 0.0 0.0 115.50000000000001
"2100-01-01 00:01:56.000" 0.0 0.0 116.00000000000001
"2100-01-01 00:01:56.500" 0.0 0.0 116.50000000000001
"2100-01-01 00:01:57.000" 0.0 0.0 117.00000000000001
"2100-01-01 00:01:57.500" 0.0 0.0 117.50000000000001
"2100-01-01 00:01:58.000" 0.0 0.0 118.00000000000001
"2100-01-01 00:01:58.500" 0.0 0.0 118.50000000000001
"2100-01-01 00:01:59.000" 0.0 0.0 119.00000000000001
"2100-01-01 00:01:59.500" 0.0 0.0 119.50000000000001
"2100-01-01 00:02:00.000" 0.0 0.0 120.00000000000001
"2100-01-01 00:02:00.500" 0.0 0.0 120.50000000000001
"2100-01-01 00:02:01.000" 0.0 0.0 121.00000000000001
"2100-01-01 00:02:01.500" 0.0 0.0 121.50000000000001
"2100-01-01 00:02:02.000" 0.0 0.0 122.00000000000001
"2100-01-01 00:02:02.500" 0.0 0.0 122.50000000000001
"2100-01-01 00:02:03.000" 0.0 0.0 123.00000000000001
"2100-01-01 00:02:03.500" 0.0 0.0 123.50000000000001
"2100-01-01 00:02:04.000" 0.0 0.0 124.00000000000001
"2100-01-01 00:02:04.500" 0.0 0.0 124.50000000000001
"2100-01-01 00:02:05.000" 0.0 0.0 125.00000000000001
"2100-01-01 00:02:05.500" 0.0 0.0 125.50000000000001
"2100-01-01 00:02:06.000" 0.0 0.0 126.00000000000001
"2100-01-01 00:02:06.500" 0.0 0.0 126.50000000000001
"2100-01-01 00:02:07.000" 0.0 0.0 127.00000000000001
"2100-01-01 00:02:07.500" 0.0 0.0 127.50000000000001
"2100-01-01 00:02:08.000" 0.0 0.0 128.0
"2100-01-01 00:02:08.500" 0.0 0.0 128.5
"2100-01-01 00:02:09.000" 0.0 0.0 129.0
"2100-01-01 00:02:09.500" 0.0 0.0 129.5
"2100-01-01 00:02:10.000" 0.0 0.0 130.0
"2100-01-01 00:02:10.500" 0.0 0.0 130.5
"2100-01-01 00:02:11.000" 0.0 0.0 131.0
"2100-01-01 00:02:11.500" 0.0 0.0 131.5
"2100-01-01 00:02:12.000" 0.0 0.0 132.0
"2100-01-01 00:02:12.500" 0.0 0.0 132.5
"2100-01-01 00:02:13.000" 0.0 0.0 133.0
"2100-01-01 00:02:13.500" 0.0 0.0 133.5
"2100-01-01 00:02:14.000" 0.0 0.0 134.0
"2100-01-01 00:02:14.500" 0.0 0.0 134.5
"2100-01-01 00:02:15.000" 0.0 0.0 135.0
"2100-01-01 00:02:15.500" 0.0 0.0 135.5
"2100-01-01 00:02:16.000" 0.0 0.0 136.0
"2100-01-01 00:02:16.500" 0.0 0.0 136.5
"2100-01-01 00:02:17.000" 0.0 0.0 137.0
"2100-01-01 00:02:17.500" 0.0 0.0 137.5
"2100-01-01 00:02:18.000" 0.0 0.0 138.0
"2100-01-01 00:02:18.500" 0.0 0.0 138.5
"2100-01-01 00:02:19.000" 0.0 0.0 139.0
"2100-01-01 00:02:19.500" 0.0 0.0 139.5
"2100-01-01 00:02:20.000" 0.0 0.0 140.0
"2100-01-01 00:02:20.500" 0.0 0.0 140.5
"2100-01-01 00:02:21.000" 0.0 0.0 141.0
"2100-01-01 00:02:21.500" 0.0 0.0 141.5
"2100-01-01 00:02:22.000" 0.0 0.0 142.0
"2100-01-01 00:02:22.500" 0.0 0.0 142.5
"2100-01-01 00:02:23.000" 0.0 0.0 143.0
"2100-01-01 00:02:23.500" 0.0 0.0 143.5
"2100-01-01 00:02:24.000" 0.0 0.0 144.0
"2100-01-01 00:02:24.500" 0.0 0.0 144.5
"2100-01-01 00:02:25.000" 0.0 0.0 145.0
"2100-01-01 00:02:25.500" 0.0 0.0 145.5
"2100-01-01 00:02:26.000" 0.0 0.0 146.0
"2100-01-01 00:02:26.500" 0.0 0.0 146.5
"2100-01-01 00:02:27.000" 0.0 0.0 147.0
"2100-01-01 00:02:27.500" 0.0 0.0 147.5
"2100-01-01 00:02:28.000" 0.0 0.0 148.0
"2100-01-01 00:02:28.500" 0.0 0.0 148.5
"2100-01-01 00:02:29.000" 0.0 0.0 149.0
"2100-01-01 00:02:29.500" 0.0 0.0 149.5
"2100-01-01 00:02:30.000" 0.0 0.0 150.0
"2100-01-01 00:02:30.500" 0.0 0.0 150.5
"2100-01-01 00:02:31.000" 0.0 0.0 151.0
"2100-01-01 00:02:31.500" 0.0 0.0 151.5
"2100-01-01 00:02:32.000" 0.0 0.0 152.0
"2100-01-01 00:02:32.500" 0.0 0.0 152.5
"2100-01-01 00:02:33.000" 0.0 0.0 153.0
"2100-01-01 00:02:33.500" 0.0 0.0 153.5
"2100-01-01 00:02:34.000" 0.0 0.0 154.0
"2100-01-01 00:02:34.500" 0.0 0.0 154.5
"2100-01-01 00:02:35.000" 0.0 0.0 155.0
"2100-01-01 00:02:35.500" 0.0 0.0 155.5
"2100-01-01 00:02:36.000" 0.0 0.0 156.0
"2100-01-01 00:02:36.500" 0.0 0.0 156.5
"2100-01-01 00:02:37.000" 0.0 0.0 157.0
"2100-01-01 00:02:37.500" 0.0 0.0 157.5
"2100-01-01 00:02:38.000" 0.0 0.0 158.0
"2100-01-01 00:02:38.500" 0.0 0.0 158.5
"2100-01-01 00:02:39.000" 0.0 0.0 159.0
"2100-01-01 00:02:39.500" 0.0 0.0 159.5
"2100-01-01 00:02:40.000" 0.0 0.0 160.0
"2100-01-01 00:02:40.500" 0.0 0.0 160.5
"2100-01-01 00:02:41.000" 0.0 0.0 161.0
"2100-01-01 00:02:41.500" 0.0 0.0 161.5
"2100-01-01 00:02:42.000" 0.0 0.0 162.0
"2100-01-01 00:02:42.500" 0.0 0.0 162.5
"2100-01-01 00:02:43.000" 0.0 0.0 163.0
"2100-01-01 00:02:43.500" 0.0 0.0 163.5
"2100-01-01 00:02:44.000" 0.0 0.0 164.0
"2100-01-01 00:02:44.500" 0.0 0.0 164.5
"2100-01-01 00:02:45.000" 0.0 0.0 165.0
"2100-01-01 00:02:45.500" 0.0 0.0 165.5
"2100-01-01 00:02:46.000" 0.0 0.0 166.0
"2100-01-01 00:02:46.500" 0.0 0.0 166.5
"2100-01-01 00:02:47.000" 0.0 0.0 167.0
"2100-01-01 00:02:47.500" 0.0 0.0 167.5
"2100-01-01 00:02:48.000" 0.0 0.0 168.0
"2100-01-01 00:02:48.500" 0.0 0.0 168.5
"2100-01-01 00:02:49.000" 0.0 0.0 169.0
"2100-01-01 00:02:49.500" 0.0 0.0 169.5
"2100-01-01 00:02:50.000" 0.0 0.0 170.0
"2100-01-01 00:02:50.500" 0.0 0.0 170.5
"2100-01-01 00:02:51.000" 0.0 0.0 171.0
"2100-01-01 00:02:51.500" 0.0 0.0 171.5
"2100-01-01 00:02:52.000" 0.0 0.0 172.0
"2100-01-01 00:02:52.500" 0.0 0.0 172.5
"2100-01-01 00:02:53.000" 0.0 0.0 173.0
"2100-01-01 00:02:53.500" 0.0 0.0 173.5
"2100-01-01 00:02:54.000" 0.0 0.0 174.0
"2100-01-01 00:02:54.500" 0.0 0.0 174.5
"2100-01-01 00:02:55.000" 0.0 0.0 175.0
"2100-01-01 00:02:55.500" 0.0 0.0 175.5
"2100-01-01 00:02:56.000" 0.0 0.0 176.0
"2100-01-01 00:02:56.500" 0.0 0.0 176.5
"2100-01-01 00:02:57.000" 0.0 0.0 177.0
"2100-01-01 00:02:57.500" 0.0 0.0 177.5
"2100-01-01 00:02:58.000" 0.010747830383479595 0.0 178.0
"2100-01-01 00:02:58.500" 0.47330138087272644 10.094084739685059 178.5
"2100-01-01 00:02:59.000" 1.4749723672866821 14.91272258758545 179.0
"2100-01-01 00:02:59.500" 1.836347222328186 15.551392555236816 179.5
"2100-01-01 00:03:00.000" 1.8053568601608276 14.818220138549805 180.0
"2100-01-01 00:03:00.500" 1.8208140134811401 13.941876411437988 180.5
"2100-01-01 00:03:01.000" 1.9184373617172241 13.084729194641113 181.0
"2100-01-01 00:03:01.500" 2.1027796268463135 12.421449661254883 181.5
"2100-01-01 00:03:02.000" 2.4199140071868896 11.977927207946777 182.0
"2100-01-01 00:03:02.500" 3.029566764831543 12.147529602050781 182.5
"2100-01-01 00:03:03.000" 3.7522435188293457 12.00305461883545 183.0
"2100-01-01 00:03:03.500" 4.615167140960693 11.748769760131836 183.5
"2100-01-01 00:03:04.000" 5.394267559051514 11.632742881774902 184.0
"2100-01-01 00:03:04.500" 6.059453964233398 11.50914192199707 184.5
"2100-01-01 00:03:05.000" 6.74462366104126 11.112812995910645 185.0
"2100-01-01 00:03:05.500" 7.4319586753845215 10.730650901794434 185.5
"2100-01-01 00:03:06.000" 8.065935134887695 10.495179176330566 186.0
"2100-01-01 00:03:06.500" 8.563766479492188 10.38941764831543 186.5
"2100-01-01 00:03:07.000" 8.806412696838379 10.255337715148926 187.0
"2100-01-01 00:03:07.500" 8.897029876708984 10.134170532226562 187.5
"2100-01-01 00:03:08.000" 8.907554626464844 10.079785346984863 188.0
"2100-01-01 00:03:08.500" 8.927712440490723 10.058865547180176 188.5
"2100-01-01 00:03:09.000" 8.946756362915039 9.977389335632324 189.0
"2100-01-01 00:03:09.500" 9.025031089782715 9.817904472351074 189.5
"2100-01-01 00:03:10.000" 9.193399429321289 9.589906692504883 190.0
"2100-01-01 00:03:10.500" 9.347028732299805 9.261923789978027 190.5
"2100-01-01 00:03:11.000" 9.525725364685059 8.920802116394043 191.0
"2100-01-01 00:03:11.500" 9.714476585388184 8.578158378601074 191.5
"2100-01-01 00:03:12.000" 9.915182113647461 8.220830917358398 192.0
"2100-01-01 00:03:12.500" 10.097960472106934 7.860082149505615 192.5
"2100-01-01 00:03:13.000" 10.226082801818848 7.512900352478027 193.0
"2100-01-01 00:03:13.500" 10.301555633544922 7.192542552947998 193.5
"2100-01-01 00:03:14.000" 10.343854904174805 6.890009880065918 194.0
"2100-01-01 00:03:14.500" 10.36748218536377 6.6152729988098145 194.5
"2100-01-01 00:03:15.000" 10.375764846801758 6.380014896392822 195.0
"2100-01-01 00:03:15.500" 10.35947036743164 6.190365314483643 195.5
"2100-01-01 00:03:16.000" 10.322372436523438 6.043638706207275 196.0
"2100-01-01 00:03:16.500" 10.272160530090332 5.933502197265625 196.5
"2100-01-01 00:03:17.000" 10.213314056396484 5.852506637573242 197.0
"2100-01-01 00:03:17.500" 10.14576530456543 5.790683746337891 197.5
"2100-01-01 00:03:18.000" 10.064085006713867 5.748899936676025 198.0
"2100-01-01 00:03:18.500" 9.966846466064453 5.720196723937988 198.5
"2100-01-01 00:03:19.000" 9.856873512268066 5.689213275909424 199.0
"2100-01-01 00:03:19.500" 9.737485885620117 5.648558139801025 199.5
"2100-01-01 00:03:20.000" 9.613481521606445 5.600998878479004 200.0
"2100-01-01 00:03:20.500" 9.492762565612793 5.555612564086914 200.5
"2100-01-01 00:03:21.000" 9.378876686096191 5.514779090881348 201.0
"2100-01-01 00:03:21.500" 9.27560043334961 5.482308387756348 201.5
"2100-01-01 00:03:22.000" 9.183374404907227 5.4578657150268555 202.0
"2100-01-01 00:03:22.500" 9.096671104431152 5.432080268859863 202.5
"2100-01-01 00:03:23.000" 9.008500099182129 5.393894195556641 203.0
"2100-01-01 00:03:23.500" 8.910391807556152 5.336543560028076 203.5
"2100-01-01 00:03:24.000" 8.79340934753418 5.263273239135742 204.0
"2100-01-01 00:03:24.500" 8.66654109954834 5.177403926849365 204.5
"2100-01-01 00:03:25.000" 8.537535667419434 5.0835700035095215 205.0
"2100-01-01 00:03:25.500" 8.410770416259766 4.9885382652282715 205.5
"2100-01-01 00:03:26.000" 8.286994934082031 4.898077487945557 206.0
"2100-01-01 00:03:26.500" 8.16517162322998 4.815191745758057 206.5
"2100-01-01 00:03:27.000" 8.042830467224121 4.742064952850342 207.0
"2100-01-01 00:03:27.500" 7.917703151702881 4.684013366699219 207.5
"2100-01-01 00:03:28.000" 7.792436599731445 4.642465114593506 208.0
"2100-01-01 00:03:28.500" 7.668989658355713 4.614379405975342 208.5
"2100-01-01 00:03:29.000" 7.548020839691162 4.595335960388184 209.0
"2100-01-01 00:03:29.500" 7.4303717613220215 4.580748558044434 209.5
"2100-01-01 00:03:30.000" 7.3145270347595215 4.565638542175293 210.0
"2100-01-01 00:03:30.500" 7.199244022369385 4.54466438293457 210.5
"2100-01-01 00:03:31.000" 7.083143711090088 4.513598918914795 211.0
"2100-01-01 00:03:31.500" 6.9662184715271 4.471162796020508 211.5
"2100-01-01 00:03:32.000" 6.848757266998291 4.418916702270508 212.0
"2100-01-01 00:03:32.500" 6.73410177230835 4.357387542724609 212.5
"2100-01-01 00:03:33.000" 6.622828483581543 4.286336898803711 213.0
"2100-01-01 00:03:33.500" 6.514777660369873 4.206209659576416 213.5
"2100-01-01 00:03:34.000" 6.410001277923584 4.116458415985107 214.0
"2100-01-01 00:03:34.500" 6.315165042877197 4.010391712188721 214.5
"2100-01-01 00:03:35.000" 6.227008819580078 3.8911421298980713 215.0
"2100-01-01 00:03:35.500" 6.144515514373779 3.7656750679016113 215.5
"2100-01-01 00:03:36.000" 6.070224285125732 3.634401321411133 216.0
"2100-01-01 00:03:36.500" 6.001270771026611 3.501208543777466 216.5
"2100-01-01 00:03:37.000" 5.934789180755615 3.3696529865264893 217.0
"2100-01-01 00:03:37.500" 5.870697021484375 3.2390084266662598 217.5
"2100-01-01 00:03:38.000" 5.8097405433654785 3.1107189655303955 218.0
"2100-01-01 00:03:38.500" 5.7498087882995605 2.9852683544158936 218.5
"2100-01-01 00:03:39.000" 5.688193321228027 2.865400791168213 219.0
"2100-01-01 00:03:39.500" 5.623999118804932 2.752955675125122 219.5
"2100-01-01 00:03:40.000" 5.556214332580566 2.6460108757019043 220.0
"2100-01-01 00:03:40.500" 5.4862060546875 2.5431535243988037 220.5
"2100-01-01 00:03:41.000" 5.41564416885376 2.443723440170288 221.0
"2100-01-01 00:03:41.500" 5.344958782196045 2.346388339996338 221.5
"2100-01-01 00:03:42.000" 5.2749834060668945 2.2496347427368164 222.0
"2100-01-01 00:03:42.500" 5.20673131942749 2.152297019958496 222.5
"2100-01-01 00:03:43.000" 5.140908241271973 2.0540854930877686 223.0
